id,booking_id,room_id,check_in_expected,check_out_expected,check_in_actual,check_out_actual,price_per_night
1,1,1,2017-10-02,2017-10-05,2017-10-02,2017-10-05,65.0
2,2,2,2018-11-06,2018-11-11,2018-11-06,2018-11-11,106.68
3,3,3,2018-02-28,2018-03-03,,,60.0
4,4,4,2018-05-20,2018-05-22,,,100.0
5,5,5,2018-04-11,2018-04-13,,,94.5
6,6,6,2018-09-13,2018-09-15,,,115.0
7,7,7,2017-10-15,2017-10-19,2017-10-15,2017-10-19,107.55
8,8,38,2018-12-26,2018-12-30,2018-12-26,2018-12-30,105.61
9,9,9,2018-07-06,2018-07-10,2018-07-06,2018-07-10,96.9
10,10,40,2018-10-18,2018-10-23,2018-10-18,2018-10-23,133.44
11,11,1,2018-09-11,2018-09-12,2018-09-11,2018-09-12,85.03
12,12,32,2018-04-30,2018-05-03,2018-04-30,2018-05-03,140.4
13,13,3,2018-11-26,2018-11-29,,,88.0
14,14,4,2018-11-20,2018-11-22,,,90.0
15,15,5,2017-10-20,2017-10-22,2017-10-20,2017-10-22,94.5
16,16,6,2018-06-15,2018-06-17,,,115.0
17,17,7,2017-10-05,2017-10-06,2017-10-05,2017-10-06,96.0
18,18,8,2017-08-10,2017-08-14,2017-08-10,2017-08-14,96.0
19,19,9,2017-10-30,2017-11-03,,,65.0
20,20,10,2017-10-04,2017-10-05,2017-10-04,2017-10-05,72.0
21,21,1,2017-10-30,2017-11-03,,,65.0
22,22,2,2018-11-25,2018-11-26,2018-11-25,2018-11-26,67.0
23,23,3,2018-03-20,2018-03-26,2018-03-20,2018-03-26,85.0
24,24,4,2018-10-13,2018-10-16,2018-10-13,2018-10-16,105.0
25,25,5,2018-05-22,2018-05-25,2018-05-22,2018-05-25,94.5
26,26,6,2018-04-28,2018-04-30,2018-04-28,2018-04-30,114.3
27,27,7,2017-09-21,2017-09-23,2017-09-21,2017-09-23,65.0
28,28,38,2018-05-19,2018-05-21,,,110.0
29,29,9,2017-11-06,2017-11-09,,,37.33
30,30,10,2017-09-17,2017-09-19,2017-09-17,2017-09-19,82.0
31,31,31,2017-09-19,2017-09-21,2017-09-19,2017-09-21,177.5
32,32,2,2018-11-13,2018-11-17,2018-11-13,2018-11-17,87.5
33,33,13,2018-12-07,2018-12-10,2018-12-07,2018-12-10,82.44
34,34,4,2018-01-09,2018-01-10,2018-01-09,2018-01-10,69.5
35,35,5,2018-10-07,2018-10-09,2018-10-07,2018-10-09,85.5
36,36,6,2018-04-27,2018-04-28,2018-04-27,2018-04-28,115.0
37,37,7,2018-06-19,2018-06-22,,,81.0
38,38,8,2017-10-17,2017-10-18,2017-10-17,2017-10-18,67.0
39,39,9,2018-11-19,2018-11-24,,,63.75
40,40,40,2018-07-30,2018-08-02,,,121.8
41,41,1,2018-11-01,2018-11-05,2018-11-01,2018-11-05,93.6
42,42,2,2018-06-21,2018-06-23,2018-06-21,2018-06-23,102.0
43,43,3,2018-04-10,2018-04-13,2018-04-10,2018-04-13,121.8
44,44,4,2018-06-27,2018-06-29,,,98.1
45,45,35,2017-11-18,2017-11-22,2017-11-18,2017-11-22,60.0
46,46,6,2017-12-29,2018-01-01,2017-12-29,2018-01-01,75.0
47,47,7,2017-11-20,2017-11-22,2017-11-20,2017-11-22,73.0
48,48,8,2018-04-06,2018-04-07,2018-04-06,2018-04-07,104.0
49,49,9,2018-11-01,2018-11-05,2018-11-01,2018-11-05,79.2
50,50,40,2018-12-29,2019-01-02,2018-12-29,2019-01-02,125.8
51,51,1,2018-05-30,2018-06-06,2018-05-30,2018-06-06,87.95
52,52,2,2018-04-22,2018-04-26,,,106.0
53,53,3,2018-05-16,2018-05-19,2018-05-16,2018-05-19,136.67
54,54,34,2017-11-11,2017-11-15,2017-11-11,2017-11-15,60.0
55,55,5,2018-06-13,2018-06-14,2018-06-13,2018-06-14,89.0
56,56,6,2018-05-19,2018-05-23,2018-05-19,2018-05-23,136.0
57,57,7,2018-07-28,2018-07-29,2018-07-28,2018-07-29,94.5
58,58,8,2018-12-26,2018-12-29,2018-12-26,2018-12-29,93.6
59,59,39,2018-04-20,2018-04-25,,,120.6
60,60,40,2018-04-06,2018-04-09,2018-04-06,2018-04-09,99.3
61,61,51,2018-09-02,2018-09-03,2018-09-02,2018-09-03,258.0
62,62,32,2018-05-03,2018-05-06,2018-05-03,2018-05-06,120.12
63,63,3,2018-06-24,2018-06-26,2018-06-24,2018-06-26,95.0
64,64,4,2017-09-10,2017-09-11,2017-09-10,2017-09-11,0.0
65,65,5,2018-12-18,2018-12-21,2018-12-18,2018-12-21,75.0
66,66,36,2018-10-05,2018-10-08,2018-10-05,2018-10-08,157.5
67,67,37,2018-06-03,2018-06-05,2018-06-03,2018-06-05,97.7
68,68,38,2018-04-15,2018-04-17,,,142.0
69,69,9,2018-04-06,2018-04-07,2018-04-06,2018-04-07,80.0
70,70,10,2018-04-25,2018-04-28,2018-04-25,2018-04-28,85.5
71,71,1,2018-08-25,2018-08-28,2018-08-25,2018-08-28,100.0
72,72,2,2018-11-14,2018-11-15,2018-11-14,2018-11-15,88.0
73,73,3,2018-08-29,2018-08-31,2018-08-29,2018-08-31,122.85
74,74,4,2018-06-03,2018-06-05,,,100.0
75,75,35,2017-10-25,2017-10-30,2017-10-25,2017-10-30,75.0
76,76,36,2018-03-09,2018-03-14,2018-03-09,2018-03-14,116.8
77,77,37,2018-12-31,2019-01-02,2018-12-31,2019-01-02,121.5
78,78,8,2018-06-27,2018-06-30,2018-06-27,2018-06-30,111.9
79,79,39,2018-06-28,2018-07-05,,,121.55
80,80,10,2018-03-29,2018-04-03,2018-03-29,2018-04-03,75.0
81,81,51,2018-04-01,2018-04-03,,,159.3
82,82,32,2018-10-11,2018-10-16,,,132.3
83,83,3,2018-12-25,2018-12-27,2018-12-25,2018-12-27,88.0
84,84,34,2018-03-14,2018-03-19,2018-03-14,2018-03-19,98.82
85,85,35,2018-03-04,2018-03-07,2018-03-04,2018-03-07,98.3
86,86,6,2018-10-17,2018-10-18,2018-10-17,2018-10-18,150.0
87,87,7,2018-09-04,2018-09-09,2018-09-04,2018-09-09,96.05
88,88,8,2018-06-15,2018-06-17,,,130.0
89,89,9,2018-12-10,2018-12-11,2018-12-10,2018-12-11,95.0
90,90,50,2018-08-09,2018-08-12,2018-08-09,2018-08-12,113.56
91,91,1,2018-05-05,2018-05-09,2018-05-05,2018-05-09,101.58
92,92,2,2018-03-18,2018-03-21,2018-03-18,2018-03-21,105.3
93,93,33,2018-04-09,2018-04-12,2018-04-09,2018-04-12,115.8
94,94,34,2018-05-19,2018-05-20,2018-05-19,2018-05-20,149.4
95,95,5,2018-08-30,2018-09-06,,,111.59
96,96,6,2018-08-04,2018-08-06,2018-08-04,2018-08-06,130.5
97,97,7,2018-08-18,2018-08-20,,,115.0
98,98,8,2018-04-13,2018-04-17,2018-04-13,2018-04-17,90.95
99,99,9,2018-11-17,2018-11-20,2018-11-17,2018-11-20,76.08
100,100,60,2018-12-22,2018-12-26,2018-12-22,2018-12-26,156.9
101,101,1,2018-10-23,2018-10-24,2018-10-23,2018-10-24,85.5
102,102,32,2018-05-13,2018-05-16,2018-05-13,2018-05-16,159.3
103,103,3,2018-12-13,2018-12-17,2018-12-13,2018-12-17,74.8
104,104,4,2017-10-31,2017-11-01,2017-10-31,2017-11-01,95.0
105,105,5,2017-10-08,2017-10-11,2017-10-08,2017-10-11,107.0
106,106,6,2018-02-16,2018-02-19,2018-02-16,2018-02-19,64.0
107,107,7,2017-11-02,2017-11-07,2017-11-02,2017-11-07,82.95
108,108,38,2017-09-21,2017-09-25,2017-09-21,2017-09-25,155.0
109,109,9,2018-06-30,2018-07-01,2018-06-30,2018-07-01,101.68
110,110,10,2017-09-05,2017-09-08,2017-09-05,2017-09-08,94.5
111,111,1,2018-09-30,2018-10-02,,,117.9
112,112,2,2018-06-27,2018-06-28,2018-06-27,2018-06-28,127.0
113,113,3,2018-06-16,2018-06-19,2018-06-16,2018-06-19,116.1
114,114,4,2018-06-30,2018-07-05,2018-06-30,2018-07-05,117.9
115,115,15,2018-06-26,2018-06-30,,,184.24
116,116,36,2018-08-13,2018-08-17,2018-08-13,2018-08-17,155.7
117,117,37,2018-04-22,2018-04-29,,,135.76
118,118,8,2018-11-12,2018-11-19,2018-11-12,2018-11-19,102.83
119,119,9,2018-04-29,2018-04-30,,,65.0
120,120,10,2017-11-14,2017-11-19,2017-11-14,2017-11-19,103.0
121,121,1,2018-09-01,2018-09-04,,,106.2
122,122,2,2018-09-16,2018-09-18,2018-09-16,2018-09-18,58.5
123,123,3,2018-03-10,2018-03-14,,,73.95
124,124,4,2018-05-05,2018-05-08,2018-05-05,2018-05-08,105.3
125,125,35,2018-04-24,2018-04-26,2018-04-24,2018-04-26,133.2
126,126,6,2018-03-30,2018-04-01,2018-03-30,2018-04-01,85.5
127,127,7,2018-11-03,2018-11-04,,,112.0
128,128,58,2018-10-14,2018-10-16,,,190.8
129,129,9,2018-06-05,2018-06-10,2018-06-05,2018-06-10,110.0
130,130,40,2018-07-13,2018-07-18,2018-07-13,2018-07-18,91.48
131,131,1,2018-10-20,2018-10-22,2018-10-20,2018-10-22,135.0
132,132,2,2018-10-17,2018-10-20,2018-10-17,2018-10-20,129.0
133,133,3,2018-12-28,2019-01-03,,,70.55
134,134,34,2017-10-19,2017-10-24,2017-10-19,2017-10-24,75.0
135,135,5,2018-03-29,2018-04-02,2018-03-29,2018-04-02,72.25
136,136,36,2017-10-09,2017-10-10,2017-10-09,2017-10-10,155.0
137,137,7,2018-07-25,2018-07-26,,,121.5
138,138,8,2018-06-28,2018-07-05,2018-06-28,2018-07-05,90.95
139,139,9,2018-05-22,2018-05-26,2018-05-22,2018-05-26,109.65
140,140,40,2018-04-15,2018-04-21,,,142.72
141,141,1,2018-05-09,2018-05-12,2018-05-09,2018-05-12,90.0
142,142,2,2018-06-17,2018-06-19,,,75.0
143,143,3,2018-11-18,2018-11-20,,,111.0
144,144,4,2018-10-30,2018-11-03,2018-10-30,2018-11-03,86.7
145,145,5,2018-03-28,2018-03-29,2018-03-28,2018-03-29,117.9
146,146,6,2018-06-01,2018-06-03,2018-06-01,2018-06-03,0.0
147,147,7,2018-05-04,2018-05-08,2018-05-04,2018-05-08,101.58
148,148,8,2018-04-08,2018-04-11,2018-04-08,2018-04-11,58.9
149,149,9,2018-06-08,2018-06-09,2018-06-08,2018-06-09,120.0
150,150,40,2018-04-07,2018-04-12,,,107.1
151,151,1,2018-05-02,2018-05-04,2018-05-02,2018-05-04,126.9
152,152,32,2018-09-29,2018-10-02,,,139.5
153,153,3,2018-04-04,2018-04-08,2018-04-04,2018-04-08,80.75
154,154,4,2017-07-17,2017-07-19,,,109.0
155,155,5,2018-04-06,2018-04-07,2018-04-06,2018-04-07,104.0
156,156,6,2018-11-01,2018-11-04,2018-11-01,2018-11-04,65.0
157,157,37,2018-05-24,2018-05-27,2018-05-24,2018-05-27,140.4
158,158,8,2018-02-17,2018-02-20,2018-02-17,2018-02-20,75.0
159,159,9,2018-04-14,2018-04-15,,,94.5
160,160,10,2018-06-05,2018-06-06,2018-06-05,2018-06-06,109.0
161,161,1,2018-11-12,2018-11-16,2018-11-12,2018-11-16,105.0
162,162,32,2018-04-17,2018-04-21,2018-04-17,2018-04-21,107.95
163,163,63,2018-10-07,2018-10-11,2018-10-07,2018-10-11,215.6
164,164,4,2018-08-01,2018-08-03,2018-08-01,2018-08-03,85.5
165,165,5,2018-07-12,2018-07-14,2018-07-12,2018-07-14,105.3
166,166,6,2018-01-02,2018-01-05,2018-01-02,2018-01-05,1.0
167,167,37,2018-06-15,2018-06-17,,,156.0
168,168,8,2018-11-16,2018-11-18,2018-11-16,2018-11-18,73.15
169,169,9,2018-09-19,2018-09-22,,,110.0
170,170,10,2017-09-13,2017-09-14,2017-09-13,2017-09-14,87.4
171,171,1,2018-09-15,2018-09-17,,,120.0
172,172,2,2018-12-16,2018-12-19,,,79.2
173,173,3,2018-06-30,2018-07-04,2018-06-30,2018-07-04,90.95
174,174,4,2018-10-18,2018-10-22,2018-10-18,2018-10-22,91.48
175,175,5,2018-11-05,2018-11-06,,,150.0
176,176,6,2018-03-22,2018-03-23,2018-03-22,2018-03-23,89.0
177,177,7,2018-08-17,2018-08-22,2018-08-17,2018-08-22,91.43
178,178,8,2018-05-20,2018-05-22,2018-05-20,2018-05-22,140.0
179,179,9,2017-10-24,2017-10-31,2017-10-24,2017-10-31,87.78
180,180,10,2018-07-21,2018-07-23,,,115.0
181,181,1,2017-09-09,2017-09-12,2017-09-09,2017-09-12,80.85
182,182,2,2018-03-31,2018-04-04,2018-03-31,2018-04-04,82.45
183,183,3,2018-10-11,2018-10-12,,,108.0
184,184,34,2018-04-02,2018-04-04,2018-04-02,2018-04-04,96.3
185,185,5,2018-08-22,2018-08-28,,,99.45
186,186,36,2018-05-13,2018-05-15,2018-05-13,2018-05-15,140.4
187,187,7,2018-08-08,2018-08-12,2018-08-08,2018-08-12,72.25
188,188,38,2018-08-15,2018-08-20,2018-08-15,2018-08-20,126.0
189,189,9,2018-08-19,2018-08-24,,,78.0
190,190,40,2018-11-06,2018-11-10,2018-11-06,2018-11-10,146.6
191,191,1,2018-10-10,2018-10-13,,,118.8
192,192,2,2018-10-06,2018-10-07,,,145.0
193,193,3,2018-04-06,2018-04-10,,,84.58
194,194,4,2018-03-25,2018-03-28,,,130.0
195,195,35,2018-08-03,2018-08-17,,,118.88
196,196,6,2018-05-30,2018-06-02,2018-05-30,2018-06-02,101.52
197,197,7,2017-09-11,2017-09-12,,,100.0
198,198,8,2018-03-20,2018-03-23,2018-03-20,2018-03-23,58.0
199,199,9,2018-03-23,2018-03-27,2018-03-23,2018-03-27,61.5
200,200,10,2018-09-26,2018-09-29,,,107.0
201,201,1,2018-08-24,2018-08-29,2018-08-24,2018-08-29,87.3
202,202,2,2017-07-16,2017-07-18,,,76.5
203,203,3,2018-12-16,2018-12-20,,,63.75
204,204,4,2018-05-13,2018-05-16,,,95.0
205,205,5,2018-11-19,2018-11-22,2018-11-19,2018-11-22,75.0
206,206,6,2018-09-08,2018-09-11,,,70.0
207,207,7,2018-05-02,2018-05-06,2018-05-02,2018-05-06,101.58
208,208,8,2018-08-21,2018-08-26,2018-08-21,2018-08-26,85.0
209,209,9,2018-12-03,2018-12-09,2018-12-03,2018-12-09,98.39
210,210,10,2018-02-27,2018-02-28,2018-02-27,2018-02-28,0.0
211,211,1,2017-09-22,2017-09-25,2017-09-22,2017-09-25,106.07
212,212,2,2018-07-18,2018-07-20,2018-07-18,2018-07-20,105.0
213,213,3,2017-09-22,2017-09-23,2017-09-22,2017-09-23,145.0
214,214,4,2018-08-13,2018-08-16,,,106.03
215,215,5,2018-08-13,2018-08-17,2018-08-13,2018-08-17,114.3
216,216,6,2018-12-05,2018-12-07,2018-12-05,2018-12-07,88.0
217,217,7,2017-10-15,2017-10-17,2017-10-15,2017-10-17,89.25
218,218,38,2018-03-20,2018-03-27,2018-03-20,2018-03-27,86.32
219,219,9,2018-10-13,2018-10-16,2018-10-13,2018-10-16,90.0
220,220,10,2017-08-22,2017-08-29,2017-08-22,2017-08-29,55.96
221,221,1,2018-06-08,2018-06-10,2018-06-08,2018-06-10,109.0
222,222,2,2018-03-01,2018-03-02,2018-03-01,2018-03-02,86.0
223,223,3,2018-09-05,2018-09-11,2018-09-05,2018-09-11,118.95
224,224,4,2018-06-10,2018-06-12,2018-06-10,2018-06-12,130.0
225,225,5,2018-04-14,2018-04-18,2018-04-14,2018-04-18,90.56
226,226,6,2018-04-01,2018-04-03,2018-04-01,2018-04-03,87.3
227,227,57,2018-05-27,2018-05-31,,,177.65
228,228,58,2017-09-19,2017-09-23,2017-09-19,2017-09-23,200.75
229,229,9,2018-03-18,2018-03-20,2018-03-18,2018-03-20,127.0
230,230,10,2018-02-05,2018-02-08,,,72.9
231,231,31,2018-05-07,2018-05-09,,,159.3
232,232,2,2018-05-12,2018-05-16,2018-05-12,2018-05-16,135.15
233,233,3,2018-10-28,2018-10-30,2018-10-28,2018-10-30,90.0
234,234,4,2017-10-18,2017-10-19,2017-10-18,2017-10-19,114.0
235,235,5,2018-06-21,2018-06-22,2018-06-21,2018-06-22,125.1
236,236,6,2017-08-14,2017-08-22,2017-08-14,2017-08-22,95.13
237,237,47,2018-04-29,2018-05-01,,,105.84
238,238,8,2018-12-26,2018-12-30,,,102.0
239,239,9,2018-12-02,2018-12-06,2018-12-02,2018-12-06,74.8
240,240,10,2018-04-24,2018-04-25,,,94.5
241,241,1,2018-06-16,2018-06-22,2018-06-16,2018-06-22,120.6
242,242,2,2017-10-09,2017-10-12,2017-10-09,2017-10-12,139.33
243,243,3,2017-09-03,2017-09-05,2017-09-03,2017-09-05,105.0
244,244,4,2018-09-14,2018-09-16,2018-09-14,2018-09-16,100.0
245,245,5,2018-02-08,2018-02-09,2018-02-08,2018-02-09,80.3
246,246,6,2017-10-02,2017-10-04,2017-10-02,2017-10-04,100.0
247,247,7,2018-03-24,2018-03-27,2018-03-24,2018-03-27,105.3
248,248,38,2018-05-31,2018-06-04,,,112.8
249,249,9,2018-08-15,2018-08-18,,,151.0
250,250,10,2017-11-09,2017-11-13,2017-11-09,2017-11-13,91.0
251,251,31,2018-08-13,2018-08-16,,,146.7
252,252,2,2017-10-02,2017-10-07,2017-10-02,2017-10-07,58.4
253,253,3,2018-07-26,2018-07-30,,,80.75
254,254,4,2018-05-21,2018-05-23,2018-05-21,2018-05-23,76.5
255,255,35,2018-09-07,2018-09-10,2018-09-07,2018-09-10,140.13
256,256,6,2017-11-15,2017-11-21,2017-11-15,2017-11-21,76.0
257,257,7,2017-09-16,2017-09-17,2017-09-16,2017-09-17,200.0
258,258,8,2017-10-16,2017-10-18,,,101.5
259,259,9,2018-10-18,2018-10-21,2018-10-18,2018-10-21,108.0
260,260,40,2018-07-23,2018-07-28,2018-07-23,2018-07-28,189.0
261,261,31,2018-06-11,2018-06-13,2018-06-11,2018-06-13,166.0
262,262,2,2018-01-16,2018-01-18,2018-01-16,2018-01-18,67.5
