id,booking_code,customer_id,user_id,status,booking_date,total_deposit
1,INN00001,1,1,CONFIRMED,2017-10-02,0.0
2,INN00002,2,1,CONFIRMED,2018-11-06,0.0
3,INN00003,3,1,CANCELLED,2018-02-28,0.0
4,INN00004,4,1,CANCELLED,2018-05-20,0.0
5,INN00005,5,1,CANCELLED,2018-04-11,0.0
6,INN00006,6,1,CANCELLED,2018-09-13,0.0
7,INN00007,7,1,CONFIRMED,2017-10-15,0.0
8,INN00008,8,1,CONFIRMED,2018-12-26,0.0
9,INN00009,9,1,CONFIRMED,2018-07-06,0.0
10,INN00010,10,1,CONFIRMED,2018-10-18,0.0
11,INN00011,11,1,CONFIRMED,2018-09-11,0.0
12,INN00012,12,1,CONFIRMED,2018-04-30,0.0
13,INN00013,13,1,CANCELLED,2018-11-26,0.0
14,INN00014,14,1,CANCELLED,2018-11-20,0.0
15,INN00015,15,1,CONFIRMED,2017-10-20,0.0
16,INN00016,16,1,CANCELLED,2018-06-15,0.0
17,INN00017,17,1,CONFIRMED,2017-10-05,0.0
18,INN00018,18,1,CONFIRMED,2017-08-10,0.0
19,INN00019,19,1,CANCELLED,2017-10-30,0.0
20,INN00020,20,1,CONFIRMED,2017-10-04,0.0
21,INN00021,21,1,CANCELLED,2017-10-30,0.0
22,INN00022,22,1,CONFIRMED,2018-11-25,0.0
23,INN00023,23,1,CONFIRMED,2018-03-20,0.0
24,INN00024,24,1,CONFIRMED,2018-10-13,0.0
25,INN00025,25,1,CONFIRMED,2018-05-22,0.0
26,INN00026,26,1,CONFIRMED,2018-04-28,0.0
27,INN00027,27,1,CONFIRMED,2017-09-21,0.0
28,INN00028,28,1,CANCELLED,2018-05-19,0.0
29,INN00029,29,1,CANCELLED,2017-11-06,0.0
30,INN00030,30,1,CONFIRMED,2017-09-17,0.0
31,INN00031,31,1,CONFIRMED,2017-09-19,0.0
32,INN00032,32,1,CONFIRMED,2018-11-13,0.0
33,INN00033,33,1,CONFIRMED,2018-12-07,0.0
34,INN00034,34,1,CONFIRMED,2018-01-09,0.0
35,INN00035,35,1,CONFIRMED,2018-10-07,0.0
36,INN00036,36,1,CONFIRMED,2018-04-27,0.0
37,INN00037,37,1,CANCELLED,2018-06-19,0.0
38,INN00038,38,1,CONFIRMED,2017-10-17,0.0
39,INN00039,39,1,CANCELLED,2018-11-19,0.0
40,INN00040,40,1,CANCELLED,2018-07-30,0.0
41,INN00041,41,1,CONFIRMED,2018-11-01,0.0
42,INN00042,42,1,CONFIRMED,2018-06-21,0.0
43,INN00043,43,1,CONFIRMED,2018-04-10,0.0
44,INN00044,44,1,CANCELLED,2018-06-27,0.0
45,INN00045,45,1,CONFIRMED,2017-11-18,0.0
46,INN00046,46,1,CONFIRMED,2017-12-29,0.0
47,INN00047,47,1,CONFIRMED,2017-11-20,0.0
48,INN00048,48,1,CONFIRMED,2018-04-06,0.0
49,INN00049,49,1,CONFIRMED,2018-11-01,0.0
50,INN00050,50,1,CONFIRMED,2018-12-29,0.0
51,INN00051,51,1,CONFIRMED,2018-05-30,0.0
52,INN00052,52,1,CANCELLED,2018-04-22,0.0
53,INN00053,53,1,CONFIRMED,2018-05-16,0.0
54,INN00054,54,1,CONFIRMED,2017-11-11,0.0
55,INN00055,55,1,CONFIRMED,2018-06-13,0.0
56,INN00056,56,1,CONFIRMED,2018-05-19,0.0
57,INN00057,57,1,CONFIRMED,2018-07-28,0.0
58,INN00058,58,1,CONFIRMED,2018-12-26,0.0
59,INN00059,59,1,CANCELLED,2018-04-20,0.0
60,INN00060,60,1,CONFIRMED,2018-04-06,0.0
61,INN00061,61,1,CONFIRMED,2018-09-02,0.0
62,INN00062,62,1,CONFIRMED,2018-05-03,0.0
63,INN00063,63,1,CONFIRMED,2018-06-24,0.0
64,INN00064,64,1,CONFIRMED,2017-09-10,0.0
65,INN00065,65,1,CONFIRMED,2018-12-18,0.0
66,INN00066,66,1,CONFIRMED,2018-10-05,0.0
67,INN00067,67,1,CONFIRMED,2018-06-03,0.0
68,INN00068,68,1,CANCELLED,2018-04-15,0.0
69,INN00069,69,1,CONFIRMED,2018-04-06,0.0
70,INN00070,70,1,CONFIRMED,2018-04-25,0.0
71,INN00071,71,1,CONFIRMED,2018-08-25,0.0
72,INN00072,72,1,CONFIRMED,2018-11-14,0.0
73,INN00073,73,1,CONFIRMED,2018-08-29,0.0
74,INN00074,74,1,CANCELLED,2018-06-03,0.0
75,INN00075,75,1,CONFIRMED,2017-10-25,0.0
76,INN00076,76,1,CONFIRMED,2018-03-09,0.0
77,INN00077,77,1,CONFIRMED,2018-12-31,0.0
78,INN00078,78,1,CONFIRMED,2018-06-27,0.0
79,INN00079,79,1,CANCELLED,2018-06-28,0.0
80,INN00080,80,1,CONFIRMED,2018-03-29,0.0
81,INN00081,81,1,CANCELLED,2018-04-01,0.0
82,INN00082,82,1,CANCELLED,2018-10-11,0.0
83,INN00083,83,1,CONFIRMED,2018-12-25,0.0
84,INN00084,84,1,CONFIRMED,2018-03-14,0.0
85,INN00085,85,1,CONFIRMED,2018-03-04,0.0
86,INN00086,86,1,CONFIRMED,2018-10-17,0.0
87,INN00087,87,1,CONFIRMED,2018-09-04,0.0
88,INN00088,88,1,CANCELLED,2018-06-15,0.0
89,INN00089,89,1,CONFIRMED,2018-12-10,0.0
90,INN00090,90,1,CONFIRMED,2018-08-09,0.0
91,INN00091,91,1,CONFIRMED,2018-05-05,0.0
92,INN00092,92,1,CONFIRMED,2018-03-18,0.0
93,INN00093,93,1,CONFIRMED,2018-04-09,0.0
94,INN00094,94,1,CONFIRMED,2018-05-19,0.0
95,INN00095,95,1,CANCELLED,2018-08-30,0.0
96,INN00096,96,1,CONFIRMED,2018-08-04,0.0
97,INN00097,97,1,CANCELLED,2018-08-18,0.0
98,INN00098,98,1,CONFIRMED,2018-04-13,0.0
99,INN00099,99,1,CONFIRMED,2018-11-17,0.0
100,INN00100,100,1,CONFIRMED,2018-12-22,0.0
101,INN00101,101,1,CONFIRMED,2018-10-23,0.0
102,INN00102,102,1,CONFIRMED,2018-05-13,0.0
103,INN00103,103,1,CONFIRMED,2018-12-13,0.0
104,INN00104,104,1,CONFIRMED,2017-10-31,0.0
105,INN00105,105,1,CONFIRMED,2017-10-08,0.0
106,INN00106,106,1,CONFIRMED,2018-02-16,0.0
107,INN00107,107,1,CONFIRMED,2017-11-02,0.0
108,INN00108,108,1,CONFIRMED,2017-09-21,0.0
109,INN00109,109,1,CONFIRMED,2018-06-30,0.0
110,INN00110,110,1,CONFIRMED,2017-09-05,0.0
111,INN00111,111,1,CANCELLED,2018-09-30,0.0
112,INN00112,112,1,CONFIRMED,2018-06-27,0.0
