id,room_number,room_type_id,status,floor
1,101,1,AVAILABLE,1
2,102,1,AVAILABLE,1
3,103,1,AVAILABLE,1
4,104,1,AVAILABLE,1
5,105,1,AVAILABLE,1
6,106,1,AVAILABLE,1
7,107,1,AVAILABLE,1
8,108,1,AVAILABLE,1
9,109,1,AVAILABLE,1
10,110,1,AVAILABLE,1
11,201,2,AVAILABLE,2
12,202,2,AVAILABLE,2
13,203,2,AVAILABLE,2
14,204,2,AVAILABLE,2
15,205,2,AVAILABLE,2
16,206,2,AVAILABLE,2
17,207,2,AVAILABLE,2
18,208,2,AVAILABLE,2
19,209,2,AVAILABLE,2
20,210,2,AVAILABLE,2
21,301,3,AVAILABLE,3
22,302,3,AVAILABLE,3
23,303,3,AVAILABLE,3
24,304,3,AVAILABLE,3
25,305,3,AVAILABLE,3
26,306,3,AVAILABLE,3
27,307,3,AVAILABLE,3
28,308,3,AVAILABLE,3
29,309,3,AVAILABLE,3
30,310,3,AVAILABLE,3
31,401,4,AVAILABLE,4
32,402,4,AVAILABLE,4
33,403,4,AVAILABLE,4
34,404,4,AVAILABLE,4
35,405,4,AVAILABLE,4
36,406,4,AVAILABLE,4
37,407,4,AVAILABLE,4
38,408,4,AVAILABLE,4
39,409,4,AVAILABLE,4
40,410,4,AVAILABLE,4
41,501,5,AVAILABLE,5
42,502,5,AVAILABLE,5
43,503,5,AVAILABLE,5
44,504,5,AVAILABLE,5
45,505,5,AVAILABLE,5
46,506,5,AVAILABLE,5
47,507,5,AVAILABLE,5
48,508,5,AVAILABLE,5
49,509,5,AVAILABLE,5
50,510,5,AVAILABLE,5
51,601,6,AVAILABLE,6
52,602,6,AVAILABLE,6
53,603,6,AVAILABLE,6
54,604,6,AVAILABLE,6
55,605,6,AVAILABLE,6
56,606,6,AVAILABLE,6
57,607,6,AVAILABLE,6
58,608,6,AVAILABLE,6
59,609,6,AVAILABLE,6
60,610,6,AVAILABLE,6
61,701,7,AVAILABLE,7
62,702,7,AVAILABLE,7
63,703,7,AVAILABLE,7
64,704,7,AVAILABLE,7
65,705,7,AVAILABLE,7
66,706,7,AVAILABLE,7
67,707,7,AVAILABLE,7
68,708,7,AVAILABLE,7
69,709,7,AVAILABLE,7
70,710,7,AVAILABLE,7
